"","Country","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Total","Continent","Population","gdp"
"61","Guyana",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"South America",737718,6093
"62","Haiti",1,0,1,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,11,"North America",10646714,19340
"63","Hong Kong",901,1,95,11,8,564,208,16,700,15,113,0,0,12,207,5,28,32,0,0,266,28,7,0,0,163,30,3,3413,"Asia",7191503,427400
"64","Hungary",17,0,22,26,2,187,35,29,275,19,13,0,0,20,3,4,24,7,0,0,50,8,66,1,0,9,16,1,834,"Europe",9850845,267600
"65","Iceland",1,0,1,3,5,28,8,19,45,6,4,0,0,1,1,3,2,3,0,1,6,1,15,2,0,3,1,0,159,"Europe",339747,16150
"66","India",1106,0,144,20,10,785,353,122,2258,1007,114,0,0,21,74,8,630,142,0,0,1215,16,71,6,0,499,28,3,8632,"Asia",1281935911,8721000
"67","Indonesia",23,0,8,0,1,16,7,3,50,4,6,0,0,0,13,1,3,2,0,0,10,0,0,0,0,7,7,0,161,"Asia",260580739,3028000
"68","Iran",4,0,7,0,2,38,2,19,162,9,3,0,0,1,3,2,3,0,0,0,12,0,24,2,0,8,7,1,309,"Asia",82021564,1459000
"69","Iraq",1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,"Asia",39192111,596700
"70","Ireland",11,0,6,15,4,75,10,11,142,7,13,0,0,5,15,5,3,6,0,0,23,9,161,3,0,24,1,0,549,"Europe",5011102,322000
"71","Israel",12,0,12,1,8,73,7,58,243,12,13,0,0,0,1,3,20,4,0,0,20,2,43,2,0,11,11,2,558,"Asia",8299706,297000
"72","Italy",281,49,291,35,38,1252,290,161,1436,15,117,1,0,51,286,26,55,108,0,0,209,91,146,6,0,317,121,247,5629,"Europe",62137802,2221000
"73","Ivory Coast",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",NA,NA
"74","Jamaica",3,0,1,0,0,3,2,1,10,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,27,"North America",2990561,25390
"75","Japan",525,4,270,377,19,456,224,55,1324,101,261,0,0,50,265,20,21,102,0,0,246,308,100,19,0,211,85,5,5048,"Asia",126451398,4932000
"76","Jordan",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Asia",10248069,86190
"77","Kazakhstan",1,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,14,"Asia",18556698,460700
"78","Kenya",0,0,1,0,2,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,16,"Africa",47615739,152700
